User,Messages,Characters,Days in Server,Norm_Score,Total_Tickets_Capped,Max_Allowed_Tickets,Bonus_Tickets,Final_Tickets_With_Bonus
nukafox,2,34,84,0.027857142857142855,0,420,6,6
narcissisticpenguin_,9,557,91,0.1601098901098901,0,455,6,6
rokai12x,2,142,95,0.036,0,475,6,6
sekian,11,687,95,0.18810526315789472,0,475,6,6
saintmcdaniels,1,0,88,0.011363636363636364,0,440,6,6
araneafarron13,6,728,88,0.1509090909090909,0,440,6,6
bloodscythe_soulreaper,1,134,84,0.027857142857142858,0,420,6,6
yeoldemurloc,1,27,89,0.014269662921348314,0,445,6,6
monarch174,10,551,92,0.16858695652173913,0,460,6,6
ik.ta,45,1812,87,0.7255172413793104,0,435,6,6
hasperrrrr,2,129,90,0.036555555555555556,0,450,6,6
immostlydrawingwbu,1,26,93,0.013548387096774195,0,465,6,6
ooooooofters,1,48,85,0.017411764705882352,0,425,6,6
7fantasee,14,183,92,0.17206521739130437,0,460,6,6
heartofchorizo,1,0,90,0.011111111111111112,0,450,6,6
nomenklatura,4,195,92,0.06467391304347826,0,460,6,6
takieagle,25,1565,94,0.4324468085106383,0,470,6,6
bazolen,1,19,95,0.012526315789473684,0,475,6,6
kaylyb777,184,7086,75,3.398133333333333,1,375,5,6
playstation.6,181,7528,75,3.417066666666667,1,375,5,6
fanu_romania,2,0,84,0.023809523809523808,0,420,6,6
bobandy2001,12,417,86,0.1880232558139535,0,430,6,6
stoticclown,1,70,89,0.019101123595505618,0,445,6,6
elnocomprendonegro,1,28,95,0.013473684210526315,0,475,6,6
